Set,Run #1,Run #1,Run #1,Run #1,Run #1
Internal Pressure P1 (kPa),Time (s),Internal Pressure P0 (kPa),Ambient Pressure (kPa),Differential Pressure₁₋₂ (kPa),Calc1 (units)
104.26,95.000,118.07,100.77,17.30,118.07
103.89,283.800,116.73,100.78,15.95,116.73
103.88,575.200,116.03,100.78,15.24,116.03
103.47,841.400,114.08,100.79,13.29,114.08
103.27,1108.400,112.52,100.79,11.73,112.52
102.79,1397.200,110.08,100.80,9.28,110.08
102.57,1712.200,108.97,100.81,8.16,108.97
102.37,2018.000,107.84,100.82,7.03,107.84
102.23,2337.200,107.02,100.83,6.20,107.02
104.41,2626.800,118.91,100.85,18.07,118.91
